voter,choice,created,proposal
0x5d47e5D242a8F66a6286b0a2353868875F5d6068,1,1670846902,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x9c57027B1eca93093a6F446422C59C85A5A3Fa52,1,1670836493,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xFbEA6F2B10e8Ee770F37Fff9B8C9E10d9B65741D,1,1670807331,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xB478d2e5D241683667e15c9c79a2Bc0e5aF35923,1,1670796612,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xd384Cc029B537503895fE252f94FBA87A05D677E,1,1670782617,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x41587094C1Ba4463e29E772aE03BF9a132e8809C,1,1670781108,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x33f6EE932cEa603Fafd6854827259bE172C91Da4,1,1670780624,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0xcfF7303b8E08403438c751bF21c04771252fA413,1,1670778816,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x2126D723eCb1703d51caF3906355f802BbF2989D,1,1670776194,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x797BC498EdEE4357a16a1054dB0323CbD04C84c3,1,1670769018,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x80FDc30D21A672EeF723b809Ed4ba7c91728D421,1,1670753474,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
0x05553bA4d6c81d877543A168E3238C07978Cc083,1,1670743614,"{'id': '0x9e1ef3074c7679c18c3aa54a0d05bd271b07720b0422c752b23be4fc71e51718', 'title': 'DOUGH / eDOUGH buyback redesign ', 'author': '0xaBf26352aAdAAa1CabFfB3a55e378bac6BF15791', 'created': 1670245560, 'start': 1670245200, 'end': 1670849940, 'choices': ['FOR', 'AGAINST', 'MORE INFO']}"
