voter,choice,created,proposal
0x4929f4d38F2955649b5aa34343da04cf790B9D92,1,1678042265,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0xa056D660D21FF59a52e2d9Adf1eEfAFFAa875814,1,1678041814,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0x2b285e1B49bA0cB6f71D8b0D9cAFdFBf9868fDA9,1,1678038608,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0xa8Ea1D3A26652996d1342880D1708C6742f33bCB,1,1678033971,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0x5E744ecAc619E7b76C2F22e4B6015F5590eDD204,1,1678032936,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0x27E5E6074e259d98d6468454C32673E0e6f354ce,1,1678032525,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0xa0e328f9CABB36f9F45904AF9651Ed32314E9F2A,1,1678027110,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0x1A1087Bf077f74fb21fD838a8a25Cf9Fe0818450,1,1678014785,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0xADa1c199aa6f0D4340a2d8225ECd0804aAAF4690,1,1678012330,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0xfF6139236404725d723E47Ee0068A8572a2f2f71,1,1678011576,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0x8e2540edfA7410B6f32f54D4cBF715Acfe2F2e5B,1,1678010586,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
0x305308cC98560E63e933A6bD70392617c9829BF8,1,1678009028,"{'id': '0x8affa0ed45d39417cd1a898526c4492a67cf872298a9f1b2f76b34d0e8b04c16', 'title': '[Epoch-17] MerkleTree Notarization', 'author': '0x0810C422E4abD05c752618B403d26cf60bB50B5C', 'created': 1677788104, 'start': 1677788079, 'end': 1678047300, 'choices': ['Valid', 'Invalid']}"
